backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,urls,usd_pledged,location,blurb_length,duration
100,fashion/accessories,GB,246989043,GBP,False,1500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/246989043/here-there-be-dragons-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/246989043/here-there-be-dragons-enamel-pins/rewards'}",3540.05376454,"Southampton, UK",11,26
7,fashion/accessories,US,1271203947,USD,False,3500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1271203947/electric-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1271203947/electric-pins/rewards'}",668.0,"Dayton, OH",22,33
5,fashion/accessories,AU,1119174119,AUD,False,850.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/memyselfmonster/regular-show-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/memyselfmonster/regular-show-enamel-pins/rewards'}",192.12233936,"Hobart, AU",11,20
2,fashion/accessories,IT,1269878314,EUR,False,3500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1269878314/watchingyou-luxury-and-customizable-genuine-leathe?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1269878314/watchingyou-luxury-and-customizable-genuine-leathe/rewards'}",229.76143265,"Italia, Italy",19,25
52,fashion/accessories,US,85858705,USD,False,500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/85858705/enamel-halla-dragon-age-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/85858705/enamel-halla-dragon-age-pins/rewards'}",1350.0,"Atlanta, GA",15,30
11,fashion/accessories,US,1453577466,USD,False,350.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1453577466/salty-af-pretzel-flair-enamel-pin?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1453577466/salty-af-pretzel-flair-enamel-pin/rewards'}",144.0,"San Diego, CA",18,30
76,fashion/accessories,US,34591620,USD,False,500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/charamath/autumn-coffee-dragon-enamel-pin?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/charamath/autumn-coffee-dragon-enamel-pin/rewards'}",1493.0,"Mountlake Terrace, WA",19,20
6,fashion/accessories,US,976110407,USD,False,150.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/hbradystudios/make-100-wonderland-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/hbradystudios/make-100-wonderland-enamel-pins/rewards'}",180.0,"Kansas City, KS",6,25
19,fashion/accessories,US,476829991,USD,False,32000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/476829991/mrbl-automatic-watches-crafted-with-ancient-carrar?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/476829991/mrbl-automatic-watches-crafted-with-ancient-carrar/rewards'}",5469.0,"Detroit, MI",17,30
13,fashion/accessories,GB,728709510,GBP,False,285.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/728709510/stranger-things-pastel-glitter-enamel-pins-eggo-pi?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/728709510/stranger-things-pastel-glitter-enamel-pins-eggo-pi/rewards'}",151.642584,"Hampshire, UK",20,30
