backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,usd_pledged,location,blurb_length,duration
13,9,9,1591551895,5,0,-0.03677347894220472,1,0,live,481.10945944,7256,-0.07438040902660854,0.7379532801985595
6,6,21,1468309888,13,0,-0.03356229169496111,1,0,live,620.0,6846,-0.28074590700301283,0.18771249081138436
0,0,21,1741847225,13,0,-0.035713485709886555,1,0,live,0.0,10967,-0.6934769029558214,-0.2839224715204801
48,0,21,890072017,13,0,-0.034389674008393975,1,0,live,3310.0,1582,-0.07438040902660854,-0.5197399526864124
16,3,21,185891981,13,0,-0.03740961945242392,1,0,live,264.0,5742,0.13198508894979574,-0.2839224715204801
38,3,21,1937002191,13,0,-0.037368250336752284,1,0,live,2339.0,12481,-0.6934769029558214,2.0742523401388424
22,5,21,814960237,13,0,-0.012877733859139514,1,0,live,3242.0,11125,0.7510815828790086,0.030500836700762864
5,4,9,706209411,5,0,-0.035925339023833734,1,0,live,78.61140815,7256,1.1638125788318172,-0.20531664446516937
33,4,4,977921271,2,0,-0.033313908587261354,1,0,live,4415.06955715,4639,0.33835058692620007,2.0742523401388424
8,2,9,1724405057,5,0,-0.03616185425560596,1,0,live,155.79351797,8032,1.3701780768082215,-0.2839224715204801
14,6,21,1437291579,13,0,-0.03749235768376721,1,0,live,892.0,2334,-1.1062078989086301,-0.2839224715204801
72,4,21,1594448652,13,0,-0.03749235768376721,1,0,live,1275.0,9425,-0.8998424009322258,-0.2839224715204801
28,0,21,2090043963,13,0,-0.0360444386352597,1,1,live,2116.0,571,-2.1380353887906516,-0.2839224715204801
46,4,9,739988924,5,0,-0.03717683149937239,1,1,live,1191.15598242,10053,-0.07438040902660854,-0.2839224715204801
18,4,21,1588731305,13,0,-0.03707866652705078,1,0,live,985.0,11027,-0.07438040902660854,-0.5983457797417231
3,3,3,1836561532,1,0,-0.03718244354797034,1,0,live,49.15984998,12813,0.33835058692620007,-0.2839224715204801
7,7,21,1488971087,13,0,-0.03745098856809557,1,0,live,322.0,11506,-1.9316698908142473,-0.2839224715204801
23,4,3,285301193,1,0,-0.03622144097043025,1,0,live,1996.33855984,8294,0.33835058692620007,-0.2839224715204801
33,4,15,1568422249,8,0,-0.031431256684625986,1,0,live,3162.39480256,6160,-0.28074590700301283,0.10910666375607361
28,4,21,1007827797,13,0,-0.03745098856809557,1,0,live,499.0,3016,-1.9316698908142473,-0.8341632609076554
3,9,21,1932014030,13,0,-0.035630747478543265,1,0,live,61.0,6080,0.13198508894979574,-0.2839224715204801
13,4,3,454819373,1,0,-0.037498306082719056,1,0,live,163.4924572,14077,0.33835058692620007,-0.2839224715204801
4,0,21,329572669,13,0,-0.025867636180035476,1,0,live,198.0,10902,0.5447160849026044,-0.20531664446516937
5,0,21,1542465540,13,0,-0.037285512105408994,1,0,live,114.0,7260,-1.3125733968850344,-0.20531664446516937
11,4,19,2020272586,11,0,-0.03665096116870942,1,0,live,321.168783,12196,-1.3125733968850344,-0.12671081740985862
3,0,21,1194510081,13,0,-0.037161404758394065,1,0,live,36.0,4747,1.1638125788318172,-0.2839224715204801
89,0,21,320455002,13,0,-0.03645812979197613,0,0,live,3934.0,12455,-0.48711140497941713,-0.9913749150182769
3,4,9,545433095,5,0,-0.03758094564623931,1,0,live,35.73245825,2601,0.33835058692620007,-0.2839224715204801
26,6,3,1273252127,1,0,-0.03481084969199395,1,0,live,2118.11602384,6327,0.7510815828790086,-0.2839224715204801
26,4,21,1346040905,13,0,-0.03736494080749855,1,0,live,569.0,13530,1.3701780768082215,-0.2839224715204801
113,4,9,1820385553,5,0,-0.03679705385251009,1,0,live,3829.02496912,10162,-1.3125733968850344,-0.9913749150182769
71,7,21,1326205054,13,0,-0.026529542030781766,1,0,live,13815.0,7284,0.957447080855413,-0.2839224715204801
24,4,21,1804104208,13,0,-0.03720277387406571,1,0,live,1450.0,7230,0.33835058692620007,-0.2839224715204801
22,4,21,240580402,13,0,-0.03712003564272242,1,1,live,1090.0,6102,-0.28074590700301283,-0.2839224715204801
